GENDER,HOME_VALUE,HH_INCOME,NET_WORTH,PRES_KIDS,AGE,HOMEOWNER,CREDIT_RATING,PART_AFFILIATION,CONFIDENCE_LEVEL,BUBBLES,Childrens_Recency_of_Purchase,Fashion_Accessories_and_Beauty_Recency_of_Purchase,Female_and_Male_Apparel_Recency_of_Purchase,High_Ticket_Female_Apparel_Acc_Recency_of_Purchase,High_Ticket_Home_Decor_Recency_of_Purchase,Home_Decor_Recency_of_Purchase,Intimate_Apparel_and_Undergarments_Recency_of_Purchase,Kitchen_and_Bath_Recency_of_Purchase,Male_Apparel_Recency_of_Purchase,Modern_Contemporary_Decor_and_Gifts_Recency_of_Purchase,Other_Recency_of_Purchase,Purchase_Date_Range,TARGET
M,,H,A,,55-64,8,,,0,Urban Mashup,,,,5,,,5,,,,,2,1
F,,O,H,TRUE,55-64,H,,,1,Suburban Socialites,,5,5,1,1,,,5,2,1,5,1,1
M,,F,F,TRUE,55-64,H,,,0,Urban Mashup,,4,,,3,4,3,,,3,4,3,1
F,S,S,I,TRUE,45-54,H,C,I,0,Lowkey Luxe,,4,4,1,,,,,5,,4,1,1
M,S,N,I,FALSE,45-54,H,E,,0,Working for the Weekend,,,,,,,,,,,,,1
M,Q,O,H,TRUE,35-44,H,D,,0,Glitterati,,,,,,,,,,,,5,1
M,R,F,,FALSE,35-44,H,E,D,0,Subway Surfers,,4,3,,5,,,3,,5,,3,1
M,R,F,,FALSE,35-44,H,E,D,0,Subway Surfers,,4,3,,5,,,3,,5,,3,1
M,R,F,,FALSE,35-44,H,E,D,0,Subway Surfers,,4,3,,5,,,3,,5,,3,1
F,U,Q,H,TRUE,45-54,,,D,0,Jet Setters,5,,,,2,2,,,,1,5,1,1
F,Q,E,G,TRUE,25-34,H,C,R,0,Subway Surfers,,4,,2,1,5,,,,1,5,1,1
F,Q,E,G,TRUE,25-34,H,C,R,0,Subway Surfers,,4,,2,1,5,,,,1,5,1,1
F,O,L,F,TRUE,35-44,H,C,,0,Working for the Weekend,,5,,,1,5,3,4,,1,,1,1
F,,H,I,TRUE,75+,H,,D,0,Back at the Ranch,,,,,,,,,,,,3,1
F,,H,I,TRUE,75+,H,,D,0,Back at the Ranch,,,,,,,,,,,,3,1
F,,H,I,TRUE,75+,H,,D,0,Back at the Ranch,,,,,,,,,,,,3,1
F,S,I,F,,65-74,H,B,R,0,Blue Collar Boomers,4,2,4,1,2,5,5,2,,2,4,1,1
F,S,Q,I,TRUE,55-64,H,A,R,0,Single and Thriving,5,,3,,5,5,4,5,,5,,3,1
M,S,S,I,,65-74,H,B,D,0,Urban Elites,,,,,2,2,,,2,1,,1,1
M,S,S,I,,65-74,H,B,D,0,Urban Elites,,,,,2,2,,,2,1,,1,1
M,S,S,I,,65-74,H,B,D,0,Urban Elites,,,,,2,2,,,2,1,,1,1
F,,K,G,FALSE,45-54,,,,0,Working for the Weekend,,,,,,,,,,,,,1
F,S,N,H,,45-54,H,,,0,Working for the Weekend,5,5,,,1,,,4,,1,,1,1
M,U,O,I,TRUE,45-54,H,D,,0,Lowkey Luxe,,,5,5,1,1,,5,,1,,1,1
F,,,,TRUE,45-54,R,,,2,Jet Setters,,,,3,2,,5,5,,2,4,2,1
M,,L,H,FALSE,35-44,H,,D,0,Date Nights City Lights,,,5,,4,4,,,,4,,4,1
F,U,S,I,TRUE,45-54,H,B,R,0,Jet Setters,,1,,4,5,5,2,,,4,,1,1
F,U,J,,,35-44,,D,,0,Date Nights City Lights,,,5,2,1,,,4,,1,,1,1
F,U,J,,,35-44,,D,,0,Date Nights City Lights,,,5,2,1,,,4,,1,,1,1
F,U,J,,,35-44,,D,,0,Date Nights City Lights,,,5,2,1,,,4,,1,,1,1
M,S,S,H,TRUE,55-64,H,B,,0,Wealth Whispers,,5,5,,2,,,5,,2,,2,1
F,S,S,H,TRUE,65-74,H,B,L,0,Wealth Whispers,5,3,1,1,1,4,3,5,2,1,,1,1
M,,L,I,TRUE,55-64,H,,,0,Single Sophisticates,,,,4,1,1,4,5,,,5,1,1
F,,,,TRUE,45-54,H,,,0,Minivans and Malls,5,2,2,1,4,,,5,,4,2,1,1
F,,,,,35-44,,,,2,Life in the Fast Lane,,5,,5,2,,5,,,2,,1,1
M,,G,A,FALSE,35-44,8,,,2,Subway Surfers,5,,5,4,5,,,5,,,,4,1
M,S,S,I,TRUE,25-34,H,C,D,0,Life in the Fast Lane,5,3,1,1,1,4,2,1,5,4,5,1,1
F,U,O,I,FALSE,55-64,H,D,D,0,Single and Thriving,,,,,4,4,,4,,,,2,1
F,,N,I,,55-64,H,,,0,Single Sophisticates,,,,,,,,,,,,,1
F,M,O,F,TRUE,65-74,H,C,R,0,Wealth Whispers,,5,,,1,5,,,,1,,1,1
F,U,N,G,FALSE,25-34,R,C,,0,Date Nights City Lights,,,,,,,,,,,,,1
F,U,N,G,FALSE,25-34,R,C,,0,Date Nights City Lights,,,,,,,,,,,,,1
M,,O,H,TRUE,65-74,H,,,0,Old Money,,,,,5,,,,,5,,1,1
F,R,M,H,FALSE,25-34,H,C,,0,Date Nights City Lights,,5,5,,5,5,5,5,,,5,2,1
F,M,O,H,TRUE,55-64,H,C,,0,Single and Thriving,1,2,5,3,1,5,3,3,,1,5,1,1
F,M,O,I,,65-74,H,C,,0,Urban Elites,,,5,,3,3,5,,,5,2,1,1
F,S,Q,I,,75+,H,B,R,0,Senior Elite,,,,,,,,,,,,,1
F,,H,F,FALSE,35-44,R,,D,0,Subway Surfers,5,5,,,,,5,,,,,5,1
F,S,S,I,TRUE,55-64,H,,,0,Hometown Heroes,3,2,1,1,5,,5,5,1,5,,1,1
F,S,S,I,TRUE,55-64,H,,,0,Hometown Heroes,3,2,1,1,5,,5,5,1,5,,1,1
F,S,S,I,TRUE,55-64,H,,,0,Hometown Heroes,3,2,1,1,5,,5,5,1,5,,1,1
F,S,S,I,TRUE,55-64,H,,,0,Hometown Heroes,3,2,1,1,5,,5,5,1,5,,1,1
F,U,O,G,,75+,8,,,0,Senior Elite,,3,,,2,,,,,2,,2,1
F,U,O,G,,75+,8,,,0,Senior Elite,,3,,,2,,,,,2,,2,1
F,U,O,G,,75+,8,,,0,Senior Elite,,3,,,2,,,,,2,,2,1
F,U,O,G,,75+,8,,,0,Senior Elite,,3,,,2,,,,,2,,2,1
F,U,O,G,,75+,8,,,0,Senior Elite,,3,,,2,,,,,2,,2,1
F,S,O,H,TRUE,35-44,H,C,,0,Glitterati,5,,4,,2,,5,,5,2,,1,1
F,S,O,H,TRUE,35-44,H,C,,0,Glitterati,5,,4,,2,,5,,5,2,,1,1
F,U,N,G,TRUE,45-54,H,C,R,0,Working for the Weekend,5,1,4,3,1,5,,3,,1,,1,1
M,S,P,I,,65-74,H,B,D,0,Old Money,,,,,3,4,,,,3,,2,1
M,S,S,I,TRUE,25-34,H,B,,0,Life in the Fast Lane,5,4,3,1,4,,5,5,5,4,,1,1
M,N,O,I,TRUE,35-44,H,B,D,0,Glitterati,,,,,4,,,,,4,2,2,1
F,,Q,I,TRUE,35-44,H,,,0,Life in the Fast Lane,,,,,,,,,,,,,1
M,,A,F,FALSE,35-44,,,,2,Subway Surfers,,,,,,,,,,,,,1
F,U,,I,,65-74,H,E,D,0,Urban Elites,,5,,,5,,,5,,,,2,1
F,R,N,I,TRUE,35-44,H,C,,0,Downtown Dreamers,,1,5,1,2,,4,4,,2,,1,1
F,R,N,I,TRUE,35-44,H,C,,0,Downtown Dreamers,,1,5,1,2,,4,4,,2,,1,1
F,R,N,I,TRUE,35-44,H,C,,0,Downtown Dreamers,,1,5,1,2,,4,4,,2,,1,1
M,,O,H,FALSE,35-44,H,,,0,Life in the Fast Lane,,,,,,,,,,,,,1
F,S,R,I,,65-74,H,C,D,0,Single and Thriving,,2,,,,,,,,,,1,1
F,,O,H,TRUE,25-34,H,,,0,Life in the Fast Lane,,5,,,5,,,5,,,,2,1
M,M,N,G,TRUE,25-34,H,D,R,0,Date Nights City Lights,,,,,2,,,2,,3,,2,1
M,S,S,I,TRUE,55-64,H,C,D,0,Patriotic and Proud,,3,,,1,4,,,1,1,,1,1
F,,O,I,TRUE,25-34,R,,D,0,Life in the Fast Lane,,,,,,,,,5,,,5,1
F,,O,I,TRUE,25-34,R,,D,0,Life in the Fast Lane,,,,,,,,,5,,,5,1
M,S,Q,I,FALSE,55-64,H,B,I,0,Single and Thriving,,,5,,5,,,,,5,,3,1
F,Q,R,I,TRUE,65-74,H,A,D,0,Urban Elites,,5,1,1,5,,4,5,4,5,,1,1
F,Q,Q,I,TRUE,65-74,H,C,,0,Old Money,,,5,5,3,,,,,3,,3,1
F,U,N,A,FALSE,35-44,R,,,0,Working for the Weekend,,,,,2,,,,,2,,2,1
F,U,N,A,FALSE,35-44,R,,,0,Working for the Weekend,,,,,2,,,,,2,,2,1
F,U,N,A,FALSE,35-44,R,,,0,Working for the Weekend,,,,,2,,,,,2,,2,1
F,R,O,,FALSE,35-44,H,,,0,Glitterati,,4,,,5,,,,,5,,2,1
M,P,P,I,TRUE,35-44,H,C,D,0,Glitterati,,5,5,,1,5,,2,5,1,,1,1
M,P,P,I,TRUE,35-44,H,C,D,0,Glitterati,,5,5,,1,5,,2,5,1,,1,1
F,,O,I,TRUE,45-54,H,,,2,Lowkey Luxe,,,,,,,,,,,,,1
F,,S,I,TRUE,75+,H,,,0,Senior Elite,4,5,4,5,1,5,,,5,1,,1,1
F,U,Q,I,,55-64,R,,,0,Single and Thriving,,,,,,,,,,,,,1
F,U,Q,I,,55-64,R,,,0,Single and Thriving,,,,,,,,,,,,,1
F,U,Q,I,,55-64,R,,,0,Single and Thriving,,,,,,,,,,,,,1
F,,N,I,TRUE,25-34,H,,,0,Downtown Dreamers,,,,,,,,,,,,,1
F,,N,I,TRUE,25-34,H,,,0,Downtown Dreamers,,,,,,,,,,,,,1
M,S,,I,TRUE,75+,H,C,R,0,Senior Elite,,,,,,,,,,,,,1
M,U,O,G,TRUE,35-44,8,D,,0,Glitterati,,4,1,,1,,,,,2,,1,1
F,S,O,I,TRUE,65-74,H,A,,0,Wealth Whispers,2,5,1,2,1,,5,1,5,3,,1,1
M,S,O,I,FALSE,45-54,H,B,,0,Patriotic and Proud,4,3,5,4,2,4,,,,2,,2,1
F,U,S,I,,75+,H,,D,0,Senior Society,,,1,,1,,,1,,1,,1,1
M,S,R,I,,75+,H,C,D,0,Senior Elite,,5,,,3,,,,3,3,,3,1
F,,,I,FALSE,35-44,H,,D,2,Glitterati,5,2,2,1,2,3,5,4,,3,,1,1
M,,D,A,,35-44,8,,,2,Subway Surfers,,5,,,3,,,3,1,3,,1,1
F,Q,O,H,TRUE,25-34,H,D,,0,Single and Strategic,,,,,5,,,,,5,,2,1
M,S,O,I,FALSE,35-44,H,B,R,0,Jet Setters,,,5,2,5,5,,5,,5,2,2,1
F,Q,R,H,TRUE,55-64,H,F,,0,Single and Thriving,,5,,5,1,1,5,4,5,1,5,1,1
M,K,O,H,TRUE,45-54,H,C,R,0,Jet Setters,,,,,1,2,,2,5,1,,1,1
F,,L,I,TRUE,55-64,H,,D,0,Country Clout,5,,5,1,5,,,,,5,,1,1
M,U,O,H,TRUE,65-74,H,B,,0,Urban Elites,5,,,5,5,,,,,5,2,2,1
F,,,,,25-34,,,D,2,Date Nights City Lights,,,,,5,5,,,,,,5,1
F,,,,FALSE,35-44,H,,,2,Life in the Fast Lane,,,1,5,1,5,,,,1,,1,1
M,S,R,I,TRUE,45-54,H,B,,0,Jet Setters,1,,,,5,5,4,,,5,,1,1
F,U,G,G,TRUE,55-64,H,D,,0,Melting Pot Medley,2,,5,,1,,,,,1,,1,1
F,,N,,TRUE,45-54,,,,1,Working for the Weekend,,,5,,5,5,,,,,5,2,1
F,,N,H,FALSE,55-64,H,,,0,Single Sophisticates,,,,,1,,,,,1,,1,1
F,,N,H,FALSE,55-64,H,,,0,Single Sophisticates,,,,,1,,,,,1,,1,1
M,Q,J,C,FALSE,55-64,H,,,0,Dynamic Duos,,4,5,3,5,5,5,5,3,5,,3,1
F,,D,F,,45-54,,,,0,Single and Surviving,4,,,,2,,,2,,2,,2,1
F,S,O,I,TRUE,55-64,H,C,D,0,Lowkey Luxe,,,,,,,,,,,,,1
F,S,O,I,,25-34,H,C,,0,Single and Strategic,,2,,5,2,5,,2,2,2,,2,1
M,,I,A,FALSE,25-34,8,,,0,Subway Surfers,,2,,4,3,,4,5,,5,,1,1
F,U,H,I,TRUE,35-44,H,C,D,0,American Dreamers,5,5,,5,2,2,3,2,,2,,2,1
F,,S,I,FALSE,,H,,,2,Jet Setters,2,4,1,2,1,1,5,3,,4,5,1,1
F,U,J,G,TRUE,35-44,H,C,,0,Date Nights City Lights,,,1,,1,,,,,1,,1,1
M,U,H,G,TRUE,55-64,H,E,R,0,Pickup Trucks and Politics,,5,5,,4,5,,,2,4,,1,1
F,N,L,F,TRUE,25-34,H,B,D,0,Downtown Dreamers,,4,,5,3,,,,4,3,,3,1
F,U,O,I,TRUE,25-34,8,B,,0,Life in the Fast Lane,,5,,2,4,,4,,,4,,2,1
F,U,O,I,TRUE,25-34,8,B,,0,Life in the Fast Lane,,5,,2,4,,4,,,4,,2,1
M,R,O,H,TRUE,25-34,H,C,,0,Social Climbers,,,,,2,,,,,2,,2,1
M,R,O,H,TRUE,25-34,H,C,,0,Social Climbers,,,,,2,,,,,2,,2,1
M,U,O,A,TRUE,45-54,,,,0,Jet Setters,5,,,5,4,,,,,4,,4,1
F,,I,H,FALSE,,8,,,2,Single and Surviving,,3,4,1,2,,,4,,4,,1,1
F,B,H,G,,25-34,H,C,,0,Subway Surfers,5,5,,3,4,,5,4,,5,,3,1
F,B,H,G,,25-34,H,C,,0,Subway Surfers,5,5,,3,4,,5,4,,5,,3,1
F,,,I,TRUE,,H,,,2,Senior Elite,5,1,1,2,1,5,3,4,5,1,,1,1
M,P,,,TRUE,35-44,H,,,0,Life in the Fast Lane,,,5,,2,5,,5,,2,5,2,1
M,,N,E,,25-34,R,,,0,Downtown Dreamers,2,2,1,3,1,5,,5,1,1,,1,1
M,M,N,F,TRUE,35-44,H,C,D,0,Downtown Dreamers,5,4,2,4,1,3,2,,,1,4,1,1
F,,,,,65-74,,,,2,Urban Elites,5,,5,1,1,5,,1,,5,,1,1
M,,N,,FALSE,35-44,,,,0,Date Nights City Lights,,,,,5,,,5,3,,,3,1
F,,R,I,TRUE,35-44,H,,,0,Life in the Fast Lane,,,,,2,,,,,2,,2,1
M,S,Q,I,TRUE,45-54,H,C,D,0,Jet Setters,,,,,1,5,5,,,1,,1,1
F,Q,O,G,TRUE,25-34,H,C,L,0,Life in the Fast Lane,,,5,4,5,5,4,,,,5,2,1
F,Q,O,G,TRUE,25-34,H,C,L,0,Life in the Fast Lane,,,5,4,5,5,4,,,,5,2,1
F,S,N,I,TRUE,35-44,H,C,R,0,Downtown Dreamers,2,,2,5,4,5,5,4,,,,2,1
F,Q,R,I,,55-64,H,D,U,0,Jet Setters,,1,1,1,3,5,2,4,2,5,5,1,1
F,,O,I,,65-74,H,,,0,Urban Elites,,,,5,,,,,,,,5,1
F,,O,I,,65-74,H,,,0,Urban Elites,,,,5,,,,,,,,5,1
M,Q,O,I,TRUE,45-54,H,C,D,0,Jet Setters,,,,,,,,,,,,1,1
M,R,S,I,FALSE,55-64,H,C,R,0,Lowkey Luxe,,5,1,1,1,5,,2,,1,,1,1
M,,,,,55-64,,,,0,Single Sophisticates,,,1,,1,,,,1,1,,1,1
M,U,F,A,,35-44,H,E,I,0,Subway Surfers,,,2,,1,,,,,1,,1,1
M,U,F,A,,35-44,H,E,I,0,Subway Surfers,,,2,,1,,,,,1,,1,1
M,,,,FALSE,55-64,,,,2,Working for the Weekend,,,,,,,,,,,,,1
M,,,,FALSE,55-64,,,,2,Working for the Weekend,,,,,,,,,,,,,1
F,U,B,E,,65-74,H,D,R,0,Mid Century Moderns,3,5,,5,1,,,,,,,1,1
F,U,B,E,,65-74,H,D,R,0,Mid Century Moderns,3,5,,5,1,,,,,,,1,1
M,J,O,I,,35-44,H,B,D,0,Life in the Fast Lane,4,,5,4,1,,,,4,1,,1,1
M,J,O,I,,35-44,H,B,D,0,Life in the Fast Lane,4,,5,4,1,,,,4,1,,1,1
M,U,B,A,TRUE,25-34,H,B,D,0,Friday Night Lights,,2,1,,5,5,5,5,4,5,,1,1
F,Q,N,I,TRUE,55-64,H,E,D,0,Dynamic Duos,,,,,,,,,5,,,2,1
F,,L,I,FALSE,55-64,H,,,0,Single Sophisticates,,,,2,1,1,,,,2,,1,1
F,,L,I,FALSE,55-64,H,,,0,Single Sophisticates,,,,2,1,1,,,,2,,1,1
M,U,G,I,TRUE,35-44,H,E,D,0,Subway Surfers,,,,,,,,,,,,,1
F,S,S,I,TRUE,45-54,H,A,D,0,Lowkey Luxe,4,1,1,4,1,1,,3,4,1,4,1,1
F,,O,H,FALSE,55-64,H,,,0,Single and Thriving,5,2,,1,1,2,2,5,,1,,1,1
F,U,O,H,TRUE,35-44,H,D,D,0,Life in the Fast Lane,,,,,,,,,,,,1,1
M,S,O,I,TRUE,35-44,H,B,R,0,Life in the Fast Lane,2,1,1,,1,1,1,2,2,1,,1,1
F,,R,I,TRUE,75+,H,,,0,Senior Elite,,3,5,5,2,,,2,5,2,,1,1
F,,R,I,TRUE,75+,H,,,0,Senior Elite,,,,,,,,,,,,,1
F,S,O,H,FALSE,18-24,H,B,,0,Single and Strategic,,,,5,5,,,,,5,,1,1
,Q,S,I,TRUE,25-34,H,C,,0,Single and Strategic,,,5,,3,,5,,,3,,2,1
F,U,L,H,FALSE,35-44,9,C,D,0,Working for the Weekend,,,5,,,,,,5,,,5,1
F,,L,H,FALSE,55-64,,,,2,Single Sophisticates,,,,,,,,,,,,4,1
F,,L,H,FALSE,55-64,,,,2,Single Sophisticates,,,,,,,,,,,,4,1
F,,L,H,FALSE,55-64,,,,2,Single Sophisticates,,,,,,,,,,,,4,1
F,,L,H,FALSE,55-64,,,,2,Single Sophisticates,,,,,,,,,,,,4,1
F,,L,H,FALSE,55-64,,,,2,Single Sophisticates,,,,,,,,,,,,4,1
M,R,S,I,TRUE,55-64,H,,D,0,Hometown Heroes,,,,,3,,,3,5,,,3,1
M,R,S,I,TRUE,55-64,H,,D,0,Hometown Heroes,,,,,3,,,3,5,,,3,1
F,Q,I,I,TRUE,45-54,H,B,,0,Single and Surviving,,,4,,,,,,,,,3,1
F,N,P,I,TRUE,65-74,H,C,,0,Single and Thriving,,,,,,,,,,,,,1
F,U,N,A,,35-44,R,E,D,0,Date Nights City Lights,,5,5,3,1,2,4,3,,1,4,1,1
F,U,N,F,TRUE,35-44,H,B,,0,Date Nights City Lights,4,5,2,5,5,,,5,4,,,2,1
F,,N,H,,65-74,H,,D,0,Smart Singles,,,,1,1,,,,,1,,1,1
F,S,,I,TRUE,55-64,H,C,,0,Single and Thriving,,,,,,,,,,,,,1
F,,,I,TRUE,55-64,H,,,0,Suburban Socialites,,,,,2,3,,,5,,,2,1
F,S,H,I,,45-54,H,C,,0,Single and Surviving,,5,,5,4,,,5,,4,,4,1
F,Q,R,I,TRUE,45-54,H,B,,0,Jet Setters,,,5,,5,,,,,5,,4,1
F,,G,H,,75+,,,,0,Mid Century Moderns,,5,5,,1,,3,4,,1,,1,1
F,,G,H,,75+,,,,0,Mid Century Moderns,,5,5,,1,,3,4,,1,,1,1
F,U,S,I,TRUE,45-54,H,,D,0,Lowkey Luxe,5,5,1,1,2,5,,,3,4,2,1,1
F,M,R,H,TRUE,45-54,H,C,R,0,Lowkey Luxe,5,,5,5,1,1,5,5,5,1,5,1,1
F,U,S,I,TRUE,25-34,H,C,,0,Glitterati,,,5,3,2,,,,,2,5,2,1
M,R,O,G,TRUE,45-54,H,B,,0,Lowkey Luxe,2,2,5,5,1,,5,5,,1,1,1,1
M,,Q,I,FALSE,25-34,R,,D,0,Life in the Fast Lane,,5,5,,2,,,,,2,,2,1
M,U,N,G,,25-34,H,B,I,0,Date Nights City Lights,,,,,,,,,,,,,1
F,S,O,I,,65-74,H,B,D,0,Urban Elites,,,,,4,,,,,4,,4,1
F,S,O,I,,65-74,H,B,D,0,Urban Elites,,,,,4,,,,,4,,4,1
F,S,O,I,,65-74,H,B,D,0,Urban Elites,,,,,4,,,,,4,,4,1
M,S,Q,I,,75+,H,A,I,0,Urban Elites,,4,2,,,,,,3,,5,1,1
F,,O,H,TRUE,35-44,H,,,2,Life in the Fast Lane,3,5,1,5,2,5,5,3,5,2,2,1,1
F,,O,H,TRUE,35-44,H,,,2,Life in the Fast Lane,3,5,1,5,2,5,5,3,5,2,2,1,1
M,R,R,I,FALSE,35-44,H,,,0,Glitterati,2,,4,2,1,3,5,3,,1,,1,1
M,U,F,A,TRUE,45-54,,E,,0,Single and Surviving,,,,,2,,,,5,2,,2,1
F,,N,A,FALSE,,R,,,2,Date Nights City Lights,,,,,,,,,,,,,1
F,S,,I,TRUE,55-64,H,B,D,0,Wealth Whispers,,2,5,5,3,,3,3,,5,,1,1
F,U,S,I,TRUE,25-34,H,C,,0,Life in the Fast Lane,,,5,4,2,3,4,,5,2,,2,1
F,U,S,I,TRUE,25-34,H,C,,0,Life in the Fast Lane,,,5,4,2,3,4,,5,2,,2,1
F,U,R,I,TRUE,45-54,H,C,,0,Patriotic and Proud,,5,2,2,2,2,,2,3,2,,1,1
F,S,O,I,TRUE,18-24,H,A,,0,Social Climbers,,1,5,5,4,4,,5,,5,5,1,1
F,,J,I,FALSE,55-64,,,D,2,Country Clout,,,,,4,4,,,5,,,3,1
M,U,S,I,,65-74,H,,D,0,Urban Elites,,,,,,,,,1,,,1,1
M,U,S,I,,65-74,H,,D,0,Urban Elites,,,,,,,,,1,,,1,1
M,I,R,I,,55-64,H,B,D,0,Hometown Heroes,,,,,,,,,,,,,1
F,,E,A,FALSE,25-34,R,,U,0,Subway Surfers,5,5,,5,5,5,5,,,5,,5,1
F,,,H,TRUE,25-34,H,,,0,Social Climbers,3,5,1,1,2,3,5,2,5,3,4,1,1
F,,,H,TRUE,25-34,H,,,0,Social Climbers,3,5,1,1,2,3,5,2,5,3,4,1,1
F,,,H,TRUE,25-34,H,,,0,Social Climbers,3,5,1,1,2,3,5,2,5,3,4,1,1
F,,,H,TRUE,25-34,H,,,0,Social Climbers,3,5,1,1,2,3,5,2,5,3,4,1,1
F,S,S,I,TRUE,18-24,H,A,,0,Social Climbers,5,2,1,1,2,3,5,5,2,2,5,1,1
F,U,O,,FALSE,18-24,,C,,0,Single and Strategic,,,,,,,,,,,,,1
F,U,O,,FALSE,18-24,,C,,0,Single and Strategic,,,,,,,,,,,,,1
F,R,O,I,TRUE,45-54,H,B,,0,Lowkey Luxe,5,3,5,,1,5,5,,4,1,5,1,1
F,U,J,H,,65-74,H,B,,0,Single Sophisticates,5,3,3,,3,,,3,,5,,3,1
F,Q,N,I,TRUE,25-34,H,C,,0,Date Nights City Lights,3,,,,5,5,,,,5,,3,1
F,U,R,H,TRUE,35-44,,,,0,Keeping Up With The Joneses,3,,2,3,1,,5,,,1,,1,1
F,S,S,I,TRUE,55-64,H,B,,0,Lowkey Luxe,,,,,1,4,,,2,5,,1,1
M,,J,H,FALSE,35-44,R,,,1,Date Nights City Lights,,,,,,,,,,,,,1
F,R,N,I,,65-74,H,B,R,0,Silver Sneakers,,,5,,5,,5,,,5,,1,1
F,R,N,I,,65-74,H,B,R,0,Silver Sneakers,,,5,,5,,5,,,5,,1,1
F,N,N,I,TRUE,25-34,H,B,,0,Date Nights City Lights,,2,,,2,5,,2,,5,,1,1
F,S,Q,I,TRUE,45-54,H,B,,0,Lowkey Luxe,,,,,5,5,,,,,,1,1
F,,L,G,TRUE,65-74,H,,,0,Silver Sneakers,3,5,1,1,1,3,2,1,,3,,1,1
F,U,O,F,,65-74,R,D,D,0,Single and Thriving,,,,,3,,,3,,,,3,1
F,U,O,F,,65-74,R,D,D,0,Single and Thriving,,,,,3,,,3,,,,3,1
F,,,,FALSE,,R,,,2,Jet Setters,,,,,,,,,,,,2,1
M,S,J,I,FALSE,55-64,H,B,D,0,Single Sophisticates,,,3,5,4,5,,5,5,4,1,1,1
M,,,,FALSE,,H,,,2,Life in the Fast Lane,,,,,,,,,,,,,1
M,O,H,G,TRUE,45-54,H,B,D,0,Average Joes,2,4,2,,1,1,5,4,3,1,,1,1
M,,G,I,TRUE,45-54,R,,R,0,Single and Surviving,,4,2,2,1,2,,,2,1,,1,1
F,L,L,G,TRUE,45-54,H,B,R,0,Movin On Up,5,2,2,,3,,2,,,3,5,2,1
F,S,H,I,TRUE,35-44,H,,,0,Subway Surfers,,4,4,4,1,,,5,,1,,1,1
F,M,H,G,TRUE,55-64,H,B,,0,Urban Mashup,,,1,1,1,1,,,1,1,1,1,1
F,U,Q,F,,25-34,8,,,0,Life in the Fast Lane,,2,2,1,2,4,1,,,2,2,1,1
F,,G,G,FALSE,45-54,9,,L,0,Single and Surviving,3,3,,2,2,,,2,,2,,2,1
M,M,F,I,TRUE,45-54,H,E,,0,Single and Surviving,,5,,,2,,,5,,2,,2,1
M,M,F,I,TRUE,45-54,H,E,,0,Single and Surviving,,5,,,2,,,5,,2,,2,1
M,S,S,I,TRUE,55-64,H,C,N,0,Jet Setters,5,,,,2,5,,,,2,,2,1
M,U,L,G,TRUE,25-34,H,D,,0,Date Nights City Lights,,,,,,,,,,,,,1
M,U,L,G,TRUE,25-34,H,D,,0,Date Nights City Lights,,,,,,,,,,,,,1
F,Q,N,G,TRUE,55-64,H,B,,0,Single Sophisticates,,4,1,2,1,2,5,,5,1,,1,1
M,Q,L,H,FALSE,55-64,H,C,I,0,Single Sophisticates,,,,,,,,,,,,,1
M,Q,L,H,FALSE,55-64,H,C,I,0,Single Sophisticates,,,,,,,,,,,,,1
M,S,H,H,FALSE,45-54,H,B,D,0,Single and Surviving,,5,4,,1,5,,5,5,1,,1,1
F,S,S,I,,75+,H,B,R,0,Senior Elite,,,5,,3,5,3,,5,4,,2,1
F,S,P,I,,75+,H,B,D,0,Old Money,,5,5,1,2,5,5,5,5,2,,1,1
M,L,F,F,FALSE,25-34,H,G,,0,Subway Surfers,2,2,1,,1,4,,3,2,1,5,1,1
F,S,O,I,TRUE,65-74,H,B,D,0,Urban Elites,3,5,1,2,5,,,,2,,,1,1
,,,I,,,,,,2,Urban Elites,3,4,3,1,2,2,3,5,,2,3,1,1
M,R,R,H,TRUE,25-34,H,B,,0,Life in the Fast Lane,,4,1,,2,3,,5,5,2,,1,1
M,,N,I,FALSE,25-34,R,,,2,Date Nights City Lights,,,,5,1,,5,5,,1,,1,1
F,O,O,A,FALSE,35-44,H,,R,0,Life in the Fast Lane,,2,,1,1,,,,,1,,1,1
M,,,,FALSE,,,,,2,Single and Thriving,,,,,,,,,,,,3,1
F,P,F,H,FALSE,35-44,H,G,,0,Penny Pinching Couples,,5,,,4,,,4,,,5,4,1
F,P,F,H,FALSE,35-44,H,G,,0,Penny Pinching Couples,,5,,,4,,,4,,,5,4,1
M,S,L,I,,75+,H,D,R,0,Retired and Relaxed,,,5,,,,,,,,,2,1
M,L,F,A,FALSE,35-44,H,C,,0,Subway Surfers,,2,5,,1,4,,5,5,1,,1,1
M,P,L,G,TRUE,35-44,H,B,D,0,Date Nights City Lights,,,2,,5,5,,5,,5,,1,1
F,U,N,A,,35-44,8,C,I,0,Date Nights City Lights,3,,,,2,,,4,,5,,2,1
F,U,S,H,TRUE,35-44,R,,,0,Glitterati,3,4,1,5,2,5,5,5,5,3,,1,1
F,U,A,H,FALSE,25-34,R,,,0,Tik Tok and Tie Dye,5,2,1,3,2,,1,2,,2,,1,1
F,S,S,I,,65-74,H,B,L,0,Old Money,,,1,1,1,,2,1,5,,,1,1
